DOY,GEE
36891,-1.236545
36892,-1.305749
36893,-1.138228
36894,-1.417324
36895,-1.545528
36896,-1.620393
36897,-1.276741
36898,-1.597875
36899,-1.410239
36900,-1.347891
36901,-1.442835
36902,-1.559351
36903,-1.592964
36904,-1.317428
36905,-1.428003
36906,-1.254616
36907,-1.497555
36908,-1.435579
36909,-1.332606
36910,-1.076533
36911,-1.468458
36912,-1.09586
36913,-1.55373
36914,-1.40176
36915,-1.508179
36916,-1.414875
36917,-1.565196
36918,-1.435768
36919,-1.539949
36920,-1.727283
36921,-1.686099
36922,-1.64959
36923,-1.595984
36924,-1.716305
36925,-1.877071
36926,-1.808641
36927,-1.994186
36928,-1.44308
36929,-1.352754
36930,-1.810528
36931,-1.728747
36932,-1.83411
36933,-1.876942
36934,-1.665195
36935,-1.950252
36936,-2.08673
36937,-2.139111
36938,-1.785281
36939,-2.246187
36940,-1.826805
36941,-2.048864
36942,-1.936013
36943,-2.09404
36944,-2.203016
36945,-2.157203
36946,-2.240905
36947,-2.471446
36948,-2.313509
36949,-2.545263
36950,-2.456917
36951,-2.558271
36952,-2.857434
36953,-2.771385
36954,-3.074539
36955,-2.974458
36956,-3.084104
36957,-3.009386
36958,-3.277193
36959,-2.738678
36960,-2.924166
36961,-3.0844
36962,-3.02998
36963,-3.216167
36964,-3.546822
36965,-3.405226
36966,-4.156331
36967,-3.598403
36968,-3.989188
36969,-3.922443
36970,-3.726593
36971,-3.897609
36972,-3.893519
36973,-3.930155
36974,-4.221402
36975,-4.05589
36976,-4.194757
36977,-4.284902
36978,-4.180322
36979,-4.043995
36980,-4.25899
36981,-4.514278
36982,-4.541411
36983,-4.321752
36984,-4.103269
36985,-4.217841
36986,-4.425879
36987,-4.529736
36988,-4.467355
36989,-5.265291
36990,-4.274034
36991,-2.726542
36992,-5.033192
36993,-4.554622
36994,-4.813375
36995,-4.445148
36996,-4.295997
36997,-4.248271
36998,-3.139211
36999,-3.867988
37000,-4.485568
37001,-4.532306
37002,-4.388697
37003,-4.651969
37004,-4.639395
37005,-3.787368
37006,-4.089065
37007,-3.653693
37008,-4.199248
37009,-4.481756
37010,-3.948939
37011,-3.539574
37012,-2.686123
37013,-2.966724
37014,-3.196235
37015,-2.916264
37016,-5.952849
37017,-3.836938
37018,-4.323884
37019,-4.777306
37020,-3.807892
37021,-4.689215
37022,-3.716519
37023,-3.638568
37024,-3.720222
37025,-3.505805
37026,-3.480004
37027,-1.548797
37028,-1.627416
37029,-1.179062
37030,-0.8687789
37031,-1.0246
37032,-0.8303319
37033,-1.076926
37034,-1.200914
37035,-0.7917718
37036,-1.267679
37037,-1.171248
37038,-1.237864
37039,-1.004153
37040,-0.6949045
37041,-1.026286
37042,-0.7319654
37043,-0.6648358
37044,-0.8613181
37045,-0.7249348
37046,-0.3785707
37047,-0.9557155
37048,-0.723961
37049,-0.8948246
37050,-0.7622264
37051,-0.7089609
37052,-0.6668693
37053,-0.7093049
37054,-0.6205553
37055,-0.678238
37056,-0.6225951
37057,-0.7845624
37058,-0.7603948
37059,-1.01183
37060,-1.102917
37061,-0.8476202
37062,-0.933486
37063,-0.8116322
37064,-0.9408136
37065,-0.6671434
37066,-0.4926691
37067,-0.5229485
37068,-0.740011
37069,-0.3311226
37070,-0.5777971
37071,-0.9136934
37072,-0.6316198
37073,-0.6959669
37074,-0.74492
37075,-0.5160795
37076,-0.6196096
37077,-0.6793316
37078,-0.5315525
37079,-0.4963982
37080,-0.4415185
37081,-0.6074287
37082,-0.5218678
37083,-0.6867761
37084,-0.8754934
37085,-0.8226049
37086,-0.2432203
37087,-0.2518655
37088,-0.405914
37089,-0.5298438
37090,-0.3102196
37091,-0.4569864
37092,-0.3204334
37093,-0.8624067
37094,-0.2093118
37095,-0.2166632
37096,-0.1866911
37097,-0.2990525
37098,-0.2939174
37099,-0.1582475
37100,-0.1374791
37101,-0.4566074
37102,-0.3039191
37103,-0.1360914
37104,-0.1164622
37105,-0.09019478
37106,-0.1298028
37107,-0.1959008
37108,-0.11614
37109,-0.1094987
37110,-0.1498285
37111,-0.1934085
37112,-0.2233358
37113,-0.5403597
37114,-0.3984306
37115,-0.3583671
37116,-0.710179
37117,-0.5696661
37118,-0.4071405
37119,-0.9901755
37120,-1.168188
37121,-0.6783415
37122,-0.8706515
37123,-0.5027507
37124,-0.5593695
37125,-0.5281557
37126,-0.6983048
37127,-0.7165895
37128,-0.707683
37129,-0.673004
37130,-0.85034
37131,-0.5175386
37132,-0.3909215
37133,-0.5146985
37134,-0.5213346
37135,-0.493905
37136,-0.3276769
37137,-0.217747
37138,-0.221173
37139,-0.3047746
37140,-0.241971
37141,-0.3317848
37142,-0.3858812
37143,-0.3134546
37144,-0.3203561
37145,-0.4082759
37146,-0.750157
37147,-0.548334
37148,-0.4606046
37149,-0.4397614
37150,-0.4396963
37151,-0.3743708
37152,-0.406767
37153,-0.3715624
37154,-0.2981479
37155,-0.4154833
37156,-0.5204265
37157,-0.5475796
37158,-0.654223
37159,-1.028665
37160,-0.8115849
37161,-0.4026637
37162,-0.5074306
37163,-0.4130999
37164,-1.15166
37165,-0.6857046
37166,-0.750957
37167,-0.6956076
37168,-0.8134511
37169,-1.02389
37170,-0.9673858
37171,-0.7434517
37172,-0.5633021
37173,-0.7011435
37174,-0.6140211
37175,-0.6854966
37176,-0.4550287
37177,-0.5930446
37178,-0.615771
37179,-0.6825813
37180,-0.4815247
37181,-0.6248792
37182,-0.5160834
37183,-0.6921673
37184,-0.3997557
37185,-0.5192239
37186,-0.419687
37187,-0.5675274
37188,-0.3908939
37189,-0.5621105
37190,-0.1935071
37191,-1.783193
37192,-1.841576
37193,-1.112228
37194,-0.6534952
37195,-0.531595
37196,-1.652715
37197,-1.070889
37198,-1.073541
37199,-1.363944
37200,-1.149652
37201,-1.009142
37202,-1.228526
37203,-1.589559
37204,-1.556875
37205,-0.7018628
37206,-1.623345
37207,-1.083835
37208,-0.7094936
37209,-1.138028
37210,-0.9935283
37211,-1.779749
37212,-1.468698
37213,-1.643727
37214,-1.525928
37215,-1.44781
37216,-1.549511
37217,-1.638863
37218,-2.089649
37219,-1.428822
37220,-1.377997
37221,-1.301552
37222,-1.189122
37223,-1.133143
37224,-0.8747797
37225,-1.258257
37226,-1.970744
37227,-1.186339
37228,-0.8880489
37229,-1.040982
37230,-0.9857854
37231,-1.526925
37232,-1.700774
37233,-1.065682
37234,-1.005273
37235,-1.263054
37236,-1.049426
37237,-0.8817187
37238,-1.274274
37239,-0.9182723
37240,-0.8582824
37241,-0.9988996
37242,-1.509657
37243,-1.35472
37244,-1.715449
37245,-1.86351
37246,-0.8904172
37247,-0.8034681
37248,-1.238675
37249,-1.097015
37250,-0.8899224
37251,-2.732049
37252,-2.35113
37253,-2.000081
37254,-2.425629
37255,-2.130036
37256,-1.686262
37257,-1.75057
37258,-1.295484
37259,-1.731806
37260,-1.622729
37261,-1.915724
37262,-1.580795
37263,-1.538532
37264,-1.501699
37265,-1.501695
37266,-1.419612
37267,-1.745032
37268,-1.466739
37269,-1.072337
37270,-1.342244
37271,-1.460553
37272,-1.59312
37273,-1.630891
37274,-1.694425
37275,-1.374269
37276,-1.395724
37277,-1.53394
37278,-1.141041
37279,-1.307319
37280,-1.239685
37281,-1.25446
37282,-1.305195
37283,-1.597409
37284,-1.41788
37285,-1.75418
37286,-1.550668
37287,-1.613533
37288,-1.422022
37289,-1.681457
37290,-1.637685
